<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar,20260330, 713900.00, 719990.00, 703255.00, 710490.00,1011225555061.00, 1423280,2618,D,715289.00,705000.00
Zar,20260329, 725000.00, 725960.00, 704760.00, 715289.00,735885299420.00, 1028795,2365,D,727904.00,712000.00
Zar,20260328, 733000.00, 737900.00, 719847.00, 727904.00,619425535551.00, 850972,2324,D,723673.00,721500.00
Zar,20260325, 720000.00, 728900.00, 710000.00, 723673.00,570372657870.00, 788164,2054,D,746313.00,723924.00
Zar,20260318, 726304.00, 754525.00, 720000.00, 746313.00,2211661025872.00, 2963450,3644,D,692503.00,752108.00
Zar,20260317, 661501.00, 712990.00, 661501.00, 692503.00,2710365957764.00, 3913868,4054,D,660277.00,710000.00
Zar,20260316, 649588.00, 669990.00, 649588.00, 660277.00,1548163177634.00, 2344716,3870,D,721764.00,664000.00
Zar,20260315, 721764.00, 721764.00, 721764.00, 721764.00,131889379248.00, 182732,480,D,801960.00,721764.00
Zar,20260314, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260310, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260309, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260308, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260307, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260304, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260303, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260302, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260228, 0.00, 0.00, 0.00, 801960.00,0.00, 0,0,D,801960.00,795900.00
Zar,20260225, 811111.00, 815000.00, 792720.00, 801960.00,1635389163328.00, 2039239,7006,D,809503.00,795900.00
Zar,20260224, 806000.00, 812078.00, 801012.00, 809503.00,1835709794609.00, 2267700,4368,D,807879.00,801200.00
Zar,20260223, 812500.00, 814899.00, 804980.00, 807879.00,1296819802553.00, 1605215,5208,D,814415.00,805002.00
Zar,20260222, 822000.00, 822481.00, 812290.00, 814415.00,2661923429269.00, 3268510,6868,D,822915.00,818600.00
Zar,20260221, 823240.00, 830000.00, 820010.00, 822915.00,2530196095423.00, 3074673,6741,D,805836.00,820194.00
Zar,20260218, 806000.00, 814000.00, 801001.00, 805836.00,1119627608149.00, 1389398,4035,D,795145.00,804481.00
