<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kahroba,20260221, 188000.00, 188212.00, 185600.00, 186711.00,18847728294663.00, 100946077,27727,D,182871.00,186280.00
Kahroba,20260218, 184200.00, 184499.00, 181951.00, 182871.00,8833760569234.00, 48305887,14169,D,180879.00,182633.00
Kahroba,20260217, 181010.00, 185000.00, 176762.00, 180879.00,9887626538818.00, 54664432,23690,D,182412.00,181000.00
Kahroba,20260216, 182510.00, 184000.00, 181155.00, 182412.00,5849206698544.00, 32065901,17461,D,184066.00,181334.00
Kahroba,20260215, 182000.00, 185550.00, 182000.00, 184066.00,10009795046336.00, 54381432,16315,D,180471.00,184797.00
Kahroba,20260214, 182680.00, 183000.00, 179680.00, 180471.00,8489346751576.00, 47039932,19113,D,184214.00,181190.00
Kahroba,20260210, 186400.00, 186400.00, 182663.00, 184214.00,9274008569908.00, 50343695,20447,D,183999.00,183995.00
Kahroba,20260209, 186000.00, 186850.00, 181202.00, 183999.00,13542279364125.00, 73599821,25920,D,175598.00,183000.00
Kahroba,20260208, 172001.00, 178447.00, 172001.00, 175598.00,11482936524543.00, 65393299,20516,D,169902.00,178319.00
Kahroba,20260207, 167979.00, 171800.00, 166500.00, 169902.00,10285771050112.00, 60539547,20525,D,169659.00,169659.00
Kahroba,20260203, 170200.00, 170921.00, 167979.00, 169659.00,11781618167702.00, 69443116,24436,D,163670.00,169992.00
Kahroba,20260202, 165183.00, 167887.00, 157000.00, 163670.00,20512268935078.00, 125326623,50623,D,173893.00,161339.00
Kahroba,20260201, 176400.00, 179000.00, 170402.00, 173893.00,15756680210691.00, 90611511,34516,D,176543.00,172506.00
Kahroba,20260131, 169010.00, 182597.00, 169010.00, 176543.00,22258165120614.00, 126078032,42544,D,185306.00,179400.00
Kahroba,20260128, 188059.00, 188458.00, 180100.00, 185306.00,32583301210663.00, 175835574,43914,D,173179.00,181990.00
Kahroba,20260127, 170888.00, 175751.00, 170100.00, 173179.00,14694081520841.00, 84849042,31459,D,163064.00,174647.00
Kahroba,20260126, 160700.00, 164998.00, 160601.00, 163064.00,11306384364190.00, 69337224,25496,D,156550.00,164511.00
Kahroba,20260125, 155838.00, 157698.00, 154280.00, 156550.00,7128242833667.00, 45533190,17679,D,155838.00,157000.00
Kahroba,20260124, 158200.00, 158200.00, 155010.00, 155838.00,7627327164678.00, 48944004,20350,D,150668.00,155700.00
Kahroba,20260121, 150600.00, 151999.00, 147000.00, 150668.00,7831003020841.00, 51975365,19099,D,146269.00,149550.00
Kahroba,20260120, 146300.00, 147899.00, 145001.00, 146269.00,5516714490175.00, 37716285,16688,D,147515.00,147330.00
Kahroba,20260119, 148808.00, 149399.00, 146200.00, 147515.00,5971841193612.00, 40483073,18552,D,146570.00,146299.00
Kahroba,20260118, 147420.00, 147588.00, 146051.00, 146570.00,5002899809176.00, 34133173,16834,D,149135.00,146480.00
Kahroba,20260114, 149260.00, 150600.00, 148266.00, 149135.00,5457156234194.00, 36592052,14337,D,148672.00,148584.00
Kahroba,20260113, 148550.00, 149980.00, 147571.00, 148672.00,4085591785281.00, 27480494,16043,D,150638.00,149200.00
